GENESIS, INAUGURAL, WEBTEXT, BROWN, GUTENBERG
0.42856,0.47659,0.23773,0.34166,0.41483,
0.43072,0.47619,0.25567,0.32762,0.41612,
0.01722,0.45803,0.3294,0.33582,0.42693,
0.00945,0.4522,0.29719,0.36716,0.39788,
0.02014,0.4526,0.1541,0.38547,0.34199,
0.2666,0.47589,0.28568,0.36544,0.41933,
0.05336,0.45706,,0.34758,0.40115,
0.01918,0.45112,,0.40146,0.39818,
,0.44816,,0.33885,0.40766,
,0.45016,,0.3475,0.39956,
,0.47848,,0.32315,0.40302,
,0.47672,,0.33405,0.4022,
,0.44258,,0.35386,0.3785,
,0.47725,,0.35079,0.33764,
,0.46035,,0.33924,0.35137,
,0.46447,,0.31761,0.35755,
,0.45392,,0.31836,0.3204,
,0.43544,,0.30164,0.36058,
,0.46692,,0.32434,,
,0.42293,,0.32672,,
,0.45763,,0.29978,,
,0.46211,,0.31659,,
,0.45081,,0.29738,,
,0.44396,,0.32904,,
,0.46444,,0.30382,,
,0.45305,,0.33319,,
,0.46447,,0.33872,,
,0.43217,,0.34595,,
,0.43265,,0.32865,,
,0.45555,,0.37071,,
,0.45484,,0.328,,
,0.44199,,0.35256,,
,0.47826,,0.36646,,
,0.40921,,0.38971,,
,0.44867,,0.39423,,
,0.44319,,0.37865,,
,0.45177,,0.33348,,
,0.43338,,0.39397,,
,0.45117,,0.31077,,
,0.46468,,0.33504,,
,0.43157,,0.36835,,
,0.43387,,0.33918,,
,0.42514,,0.32475,,
,0.42173,,0.36627,,
,0.44723,,0.37636,,
,0.46021,,0.37825,,
,0.46696,,0.39528,,
,0.44275,,0.37444,,
,0.44413,,0.36278,,
,0.4243,,0.36934,,
,0.43568,,0.39125,,
,0.42156,,0.41503,,
,0.43704,,0.37889,,
,0.42192,,0.40905,,
,0.42466,,0.33101,,
,0.4314,,0.37413,,
,,,0.36436,,
,,,0.39178,,
,,,0.40242,,
,,,0.37345,,
,,,0.41171,,
,,,0.40246,,
,,,0.39615,,
,,,0.36277,,
,,,0.39069,,
,,,0.39669,,
,,,0.3776,,
,,,0.33845,,
,,,0.36698,,
,,,0.37651,,
,,,0.416,,
,,,0.35776,,
,,,0.36767,,
,,,0.35484,,
,,,0.35909,,
,,,0.37615,,
,,,0.39252,,
,,,0.32053,,
,,,0.38452,,
,,,0.35949,,
,,,0.35189,,
,,,0.34919,,
,,,0.35269,,
,,,0.37555,,
,,,0.36558,,
,,,0.29165,,
,,,0.3691,,
,,,0.31013,,
,,,0.43832,,
,,,0.43059,,
,,,0.36835,,
,,,0.41501,,
,,,0.4083,,
,,,0.42987,,
,,,0.42518,,
,,,0.37436,,
,,,0.37511,,
,,,0.39366,,
,,,0.43142,,
,,,0.37495,,
,,,0.47361,,
,,,0.37698,,
,,,0.36242,,
,,,0.39086,,
,,,0.38071,,
,,,0.37777,,
,,,0.40983,,
,,,0.39654,,
,,,0.37342,,
,,,0.38133,,
,,,0.37399,,
,,,0.35696,,
,,,0.40296,,
,,,0.26454,,
,,,0.36137,,
,,,0.3712,,
,,,0.34222,,
,,,0.40248,,
,,,0.3231,,
,,,0.27132,,
,,,0.38057,,
,,,0.4082,,
,,,0.37359,,
,,,0.40487,,
,,,0.3785,,
,,,0.39705,,
,,,0.35179,,
,,,0.38188,,
,,,0.39414,,
,,,0.36417,,
,,,0.38654,,
,,,0.28325,,
,,,0.36229,,
,,,0.3976,,
,,,0.36966,,
,,,0.3449,,
,,,0.3587,,
,,,0.38827,,
,,,0.31826,,
,,,0.37412,,
,,,0.42473,,
,,,0.37611,,
,,,0.36219,,
,,,0.38254,,
,,,0.36182,,
,,,0.34667,,
,,,0.42904,,
,,,0.39093,,
,,,0.35314,,
,,,0.39506,,
,,,0.36407,,
,,,0.37792,,
,,,0.3939,,
,,,0.42055,,
,,,0.40613,,
,,,0.37388,,
,,,0.33934,,
,,,0.3627,,
,,,0.38703,,
,,,0.38561,,
,,,0.36787,,
,,,0.37929,,
,,,0.37845,,
,,,0.38973,,
,,,0.3578,,
,,,0.37008,,
,,,0.37998,,
,,,0.39685,,
,,,0.39568,,
,,,0.34188,,
,,,0.36963,,
,,,0.41486,,
,,,0.38114,,
,,,0.4128,,
,,,0.30522,,
