GUTENBERG,WEBTEXT,INAUGURAL,BROWN,GENESIS
731203,98993,45097,382803,109986,
139846,25228,9020,72804,16130,
185849,37076,20025,147210,21805,
400494,48868,22823,188295,51743,
1119617,141852,81269,593146,138503,
209239,24760,17052,110672,17352,
172048,36338,10288,92584,17467,
650743,58254,30912,257234,52735,
577691,96506,46843,345755,74094,
15946,3089,918,7756,10089,
66676,20252,1909,31179,15862,
375313,61509,23536,196146,47111,
230032,33289,14756,120641,35632,
615091,91564,47115,336706,84313,
678136,110744,50298,360287,66213,
136173,26631,13662,95932,16191,
7552,1348,610,5103,3397,
502402,76819,39072,291000,61062,
556863,79809,38599,310753,75077,
827161,109491,61215,438960,76447,
252211,43443,18965,128799,40760,
83829,10936,7445,47261,16021,
201292,30879,11389,89140,10225,
9160,5020,1297,9435,993,
176040,32540,10279,81774,10453,
5525,1962,603,4553,5045,
